person_id,person_one,person_two,gender,company_id,month,messages
1,Doris,Marie,Female,2,6,43
2,Heather,Louise,Female,2,4,76
3,Nicole,Linda,Female,4,3,96
4,Evelyn,Sharon,Female,4,9,63
5,Diana,Wanda,Female,5,9,20
6,Debra,Judith,Female,3,2,20
7,Linda,Kimberly,Female,4,7,40
8,Joyce,Emily,Female,2,3,80
9,Barbara,Tammy,Female,2,8,47
10,Heather,Jessica,Female,3,10,93
11,Michelle,Jennifer,Female,3,6,93
12,Cheryl,Ashley,Female,2,9,23
13,Judith,Joan,Female,5,4,84
14,Justin,Jonathan,Male,3,1,12
15,Judy,Susan,Female,3,2,32
16,Andrea,Catherine,Female,4,3,60
17,Evelyn,Norma,Female,1,7,74
18,Anne,Cynthia,Female,1,7,47
19,Ernest,Eugene,Male,2,12,12
20,Mary,Cynthia,Female,4,9,24
21,Mary,Dorothy,Female,2,11,95
22,Juan,Bruce,Male,1,5,43
23,Shawn,Joe,Male,4,3,59
24,Jonathan,Eugene,Male,2,1,26
25,Adam,Steven,Male,2,11,67
26,Timothy,Jose,Male,2,1,17
27,Peter,Kevin,Male,1,4,22
28,Louise,Melissa,Female,2,11,41
29,Margaret,Ashley,Female,3,2,29
30,Andrea,Rachel,Female,4,2,2
31,Arthur,Henry,Male,4,12,2
32,Janet,Barbara,Female,4,4,70
33,Rebecca,Karen,Female,1,4,2
34,Todd,Jimmy,Male,3,11,92
35,Thomas,Alan,Male,2,4,80
36,Matthew,Stephen,Male,2,6,3
37,Julia,Lois,Female,1,10,12
38,David,Sean,Male,2,8,80
39,Nancy,Lisa,Female,2,7,32
40,William,Joe,Male,3,3,4
41,Rachel,Kathleen,Female,5,11,47
42,Donald,Willie,Male,2,11,30
43,George,Antonio,Male,4,9,58
44,David,Carlos,Male,5,7,10
45,Roger,Harry,Male,4,7,9
46,Jason,Terry,Male,3,8,58
47,Brandon,Charles,Male,3,3,97
48,Bruce,Jeffrey,Male,3,8,94
49,Donna,Jennifer,Female,3,2,28
50,Carlos,Walter,Male,3,10,80
51,Robert,Adam,Male,3,1,21
52,Willie,Brian,Male,5,9,98
53,Roger,Donald,Male,5,9,36
54,Russell,Bruce,Male,4,5,22
55,Margaret,Ruby,Female,5,8,37
56,Donna,Jean,Female,5,9,57
57,Anne,Elizabeth,Female,5,10,35
58,Gerald,Johnny,Male,5,10,24
59,Jose,Walter,Male,3,5,57
60,Ernest,Terry,Male,4,9,47
61,Diana,Andrea,Female,2,2,39
62,Norma,Jean,Female,1,5,25
63,Jacqueline,Jane,Female,1,1,33
64,Phyllis,Cheryl,Female,2,4,31
65,Jeffrey,George,Male,1,3,11
66,Antonio,Keith,Male,1,8,9
67,Jean,Rebecca,Female,5,5,63
68,Angela,Michelle,Female,2,1,23
69,Louis,Russell,Male,4,8,91
70,John,Phillip,Male,5,6,48
71,Jerry,Richard,Male,4,12,11
72,Karen,Lillian,Female,4,8,43
73,Tina,Patricia,Female,2,5,61
74,Gloria,Debra,Female,1,7,24
75,Joshua,Michael,Male,2,2,16
76,Harry,Robert,Male,1,2,100
77,Sharon,Anna,Female,5,1,86
78,Howard,Ernest,Male,4,5,17
79,Anthony,Bobby,Male,4,9,43
80,Theresa,Theresa,Female,5,3,22
81,Cheryl,Mildred,Female,1,9,68
82,Frank,Sean,Male,2,5,54
83,Arthur,Andrew,Male,5,4,41
84,Johnny,Craig,Male,1,3,80
85,William,Michael,Male,1,10,9
86,Jacqueline,Joan,Female,5,3,17
87,Helen,Robin,Female,2,7,32
88,Bobby,Arthur,Male,2,5,52
89,Johnny,Juan,Male,3,10,24
90,Donald,Philip,Male,1,7,97
91,Jose,Roy,Male,2,10,94
92,Alice,Tammy,Female,2,6,22
93,Nancy,Brenda,Female,3,7,17
94,Amy,Deborah,Female,5,10,75
95,Ryan,Henry,Male,2,4,58
96,Martha,Mildred,Female,1,7,45
97,Julia,Sara,Female,3,10,59
98,Larry,Larry,Male,2,2,65
99,Kathy,Christine,Female,5,9,19
100,Timothy,Steven,Male,1,8,98
101,Helen,Paula,Female,2,6,59
102,Eugene,Bruce,Male,5,2,86
103,Dennis,Gary,Male,3,5,32
104,Amy,Emily,Female,2,5,99
105,Lawrence,Samuel,Male,2,11,70
106,Philip,Juan,Male,3,7,99
107,Gloria,Stephanie,Female,1,6,12
108,Douglas,Ronald,Male,3,6,78
109,Kathleen,Louise,Female,4,9,88
110,Donald,Jerry,Male,4,5,7
111,Julie,Stephanie,Female,1,6,17
112,Earl,Aaron,Male,3,12,23
113,Angela,Paula,Female,1,3,57
114,Maria,Maria,Female,4,12,17
115,Clarence,Billy,Male,3,2,84
116,Lois,Julie,Female,1,12,84
117,Amanda,Andrea,Female,2,6,3
118,Howard,Jesse,Male,1,12,52
119,Kevin,Henry,Male,4,9,12
120,Carlos,William,Male,2,10,11
121,Denise,Christina,Female,4,12,53
122,Angela,Kimberly,Female,5,6,36
123,Joseph,Jason,Male,3,8,90
124,Jack,Timothy,Male,3,11,74
125,Sandra,Lois,Female,2,6,26
126,Mildred,Stephanie,Female,4,10,87
127,Annie,Dorothy,Female,4,5,27
128,Kathy,Alice,Female,1,2,97
129,Jessica,Phyllis,Female,2,4,94
130,Phillip,David,Male,1,2,20
131,Jimmy,Martin,Male,3,7,97
132,Diane,Sara,Female,5,9,41
133,Joan,Rebecca,Female,3,2,64
134,Stephen,Gerald,Male,5,6,38
135,Chris,Earl,Male,2,5,52
136,Carlos,Antonio,Male,3,7,15
137,Gary,Harold,Male,5,8,11
138,Diane,Patricia,Female,2,5,93
139,Amy,Marilyn,Female,4,3,64
140,Louis,Billy,Male,3,9,20
141,Lori,Stephanie,Female,1,11,5
142,Louise,Nicole,Female,4,10,93
143,Harry,Martin,Male,3,5,66
144,Patricia,Julie,Female,5,6,56
145,Diana,Jennifer,Female,5,12,20
146,Debra,Cynthia,Female,2,9,4
147,Sharon,Kathy,Female,5,3,87
148,Sandra,Janet,Female,1,12,31
149,Carlos,Jesse,Male,5,5,46
150,Ruth,Kathy,Female,1,3,29
